
2022/03/13 (23:43:44) | ===> btop++ v.1.0.14
2022/03/13 (23:43:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/14 (05:02:52) | ===> btop++ v.1.0.14
2022/03/14 (05:02:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/14 (12:26:24) | ===> btop++ v.1.0.14
2022/03/14 (12:26:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/15 (21:18:05) | ===> btop++ v.1.0.14
2022/03/15 (21:18:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/16 (00:24:52) | ===> btop++ v.1.0.14
2022/03/16 (00:24:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/16 (00:26:28) | ===> btop++ v.1.0.14
2022/03/16 (00:26:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/20 (01:10:44) | ===> btop++ v.1.0.14
2022/03/20 (01:10:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/20 (01:11:37) | ===> btop++ v.1.0.14
2022/03/20 (01:11:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/20 (12:15:53) | ===> btop++ v.1.0.14
2022/03/20 (12:15:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
